School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
SUMMIT EL SCH,Pennsylvania,PA ,4.20459E+11,Butler Area SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,235,18.1,12.98,Kindergarten,4th Grade,Elementary
SUMMIT ELEMENTARY,CALIFORNIA,CA ,060243014022,Alvord Unified,2-Special education school,2-No,2-No,–,11-City: Large,0,–,†,Kindergarten,5th Grade,Elementary
SUMMIT ELEMENTARY,Idaho,ID ,1.60159E+11,JEROME JOINT DISTRICT,1-Regular school,2-No,2-No,2-No,33-Town: Remote,629,30,20.97,4th Grade,5th Grade,Elementary
SUMMIT ELEMENTARY,Wisconsin,WI ,5.51089E+11,Oconomowoc Area School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,473,31.68,14.93,Prekindergarten,4th Grade,Elementary
SUMMIT ELEMENTARY - 02,South Dakota,SD ,4.67014E+11,Summit School District 54-6,1-Regular school,†,†,2-No,43-Rural: Remote,131,10.82,12.11,Prekindergarten,8th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Wyoming,WY ,5.60451E+11,Natrona County School District #1,1-Regular school,2-No,†,2-No,13-City: Small,450,27.02,16.65,Kindergarten,5th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Kentucky,KY ,2.10062E+11,Boyd County,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,491,34.91,14.06,Kindergarten,5th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Illinois,IL ,1.71065E+11,Collinsville CUSD 10,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,105,7.51,13.98,Kindergarten,4th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Ohio,OH ,3.90473E+11,Forest Hills Local,1-Regular school,2-No,–,2-No,21-Suburb: Large,638,33,19.33,Prekindergarten,6th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,MISSISSIPPI,MS ,2.80288E+11,MCCOMB SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,33-Town: Remote,269,16.14,16.67,1st Grade,6th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Colorado,CO ,080738000643,Woodland Park School District No. Re-2,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,353,24.69,14.3,Prekindergarten,5th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Colorado,CO ,080291001468,Cherry Creek School District No. 5 in the county of Arapah,1-Regular school,2-No,2-No,2-No,11-City: Large,400,28.54,14.02,Prekindergarten,5th Grade,Elementary
SUMMIT ELEMENTARY SCHOOL,Indiana,IN ,1.80063E+11,Monroe County Community Sch Corp,1-Regular school,2-No,2-No,2-No,13-City: Small,602,40.01,15.05,Prekindergarten,6th Grade,Elementary
SUMMIT ENVIRONMENTAL SCHOOL,Wisconsin,WI ,5.50753E+11,La Crosse School District,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,339,28.25,12,Prekindergarten,5th Grade,Elementary
SUMMIT HALL ELEMENTARY,Maryland,MD ,2.40048E+11,Montgomery County Public Schools,1-Regular school,2-No,2-No,2-No,13-City: Small,702,63.2,11.11,Prekindergarten,5th Grade,Elementary
SUMMIT HIGH,California,CA ,061392011099,Fontana Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,2524,–,†,9th Grade,12th Grade,High
SUMMIT HIGH,Utah,UT ,4.90003E+11,Alpine District,4-Alternative/other school,2-No,2-No,2-No,13-City: Small,122,12.94,9.43,8th Grade,12th Grade,High
SUMMIT HIGH (CONTINUATION),California,CA ,062637000185,Mt. Diablo Unified,4-Alternative/other school,2-No,2-No,–,21-Suburb: Large,95,–,†,9th Grade,12th Grade,High
SUMMIT HIGH (CONTINUATION),California,CA ,061111012080,Desert Sands Unified,4-Alternative/other school,2-No,2-No,–,21-Suburb: Large,278,–,†,10th Grade,12th Grade,High
SUMMIT HIGH SCHOOL,Oregon,OR ,4.10198E+11,Bend-LaPine Administrative SD 1,1-Regular school,2-No,†,–,13-City: Small,1688,59.52,28.36,9th Grade,12th Grade,High
SUMMIT HIGH SCHOOL,Tennessee,TN ,4.70453E+11,Williamson County,1-Regular school,2-No,2-No,1-Yes,41-Rural: Fringe,1629,89.8,18.14,9th Grade,12th Grade,High
SUMMIT HIGH SCHOOL,Colorado,CO ,080681001164,Summit School District No. Re 1,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,952,54.7,17.4,9th Grade,12th Grade,High
SUMMIT HIGH SCHOOL,Arizona,AZ ,040286001158,Flagstaff Unified District (4192),4-Alternative/other school,2-No,–,2-No,13-City: Small,101,11.5,8.78,7th Grade,12th Grade,High
SUMMIT HIGH SCHOOL,New Jersey,NJ ,3.4159E+11,Summit Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,1138,110.8,10.27,9th Grade,12th Grade,High
SUMMIT HIGH SCHOOL - 01,South Dakota,SD ,4.67014E+11,Summit School District 54-6,1-Regular school,†,†,2-No,43-Rural: Remote,57,5.68,10.04,9th Grade,12th Grade,High
SUMMIT HILL EL,Texas,TX ,4.82367E+11,HOWE ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,327,18.32,17.85,Prekindergarten,2nd Grade,Elementary
SUMMIT HILL ELEMENTARY,Georgia,GA ,1.30228E+11,Fulton County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,722,45.2,15.97,Prekindergarten,5th Grade,Elementary
SUMMIT HILL JUNIOR HIGH SCHOOL,Illinois,IL ,1.73822E+11,Summit Hill SD 161,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,696,55.44,12.55,7th Grade,8th Grade,Middle
SUMMIT HILLS ELEMENTARY SCHOOL,Idaho,ID ,1.60093E+11,BONNEVILLE JOINT DISTRICT,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,530,24.41,21.71,Kindergarten,6th Grade,Elementary
SUMMIT INNOVATIONS SCHOOL,Wyoming,WY ,5.60583E+11,Teton County School District #1,1-Regular school,2-No,†,2-No,33-Town: Remote,42,6.5,6.46,9th Grade,12th Grade,High
SUMMIT INTERMEDIATE,California,CA ,061296001472,Etiwanda Elementary,1-Regular school,2-No,2-No,–,41-Rural: Fringe,1124,–,†,6th Grade,8th Grade,Middle
SUMMIT INTERMEDIATE SCHOOL,Missouri,MO ,2.92253E+11,Nixa Public Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,579,38.08,15.2,4th Grade,6th Grade,Middle
SUMMIT K-8 VIRTUAL ACADEMY,NORTH CAROLINA,NC ,3.70405E+11,Rowan-Salisbury Schools,1-Regular school,2-No,†,†,22-Suburb: Mid-size,†,†,†,–,–,Not Reported
SUMMIT LAKES MIDDLE,Missouri,MO ,2.9183E+11,LEE'S SUMMIT R-VII,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,941,57.85,16.27,7th Grade,8th Grade,Middle
SUMMIT LANE SCHOOL,New York,NY ,3.61716E+11,LEVITTOWN UNION FREE SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,408,38,10.74,Kindergarten,5th Grade,Elementary
SUMMIT LEADERSHIP ACADEMY-HIGH DESERT,CALIFORNIA,CA ,060160711118,Summit Leadership Academy-High Desert District,1-Regular school,1-Yes,2-No,–,41-Rural: Fringe,307,–,†,7th Grade,12th Grade,High
SUMMIT LEARNING CENTER,Texas,TX ,4.81764E+11,DUNCANVILLE ISD,4-Alternative/other school,2-No,2-No,–,21-Suburb: Large,45,9,5,7th Grade,12th Grade,High
SUMMIT LEARNING CHARTER,Oregon,OR ,4.1047E+11,Estacada SD 108,1-Regular school,1-Yes,†,–,41-Rural: Fringe,1138,19.92,57.13,Kindergarten,12th Grade,Other
SUMMIT LEARNING PROGRAM,Minnesota,MN ,2.71428E+11,HOUSTON PUBLIC SCHOOL DISTRICT,4-Alternative/other school,2-No,2-No,1-Yes,42-Rural: Distant,17,1.16,14.66,9th Grade,12th Grade,High
SUMMIT MIDDLE CHARTER SCHOOL,Colorado,CO ,080249001517,Boulder Valley School District No. Re2,1-Regular school,1-Yes,2-No,2-No,12-City: Mid-size,359,20.18,17.79,6th Grade,8th Grade,Middle
SUMMIT MIDDLE SCHOOL,Indiana,IN ,1.80003E+11,M S D Southwest Allen County Schls,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,796,45.79,17.38,6th Grade,8th Grade,Middle
SUMMIT MIDDLE SCHOOL,Colorado,CO ,080681001400,Summit School District No. Re 1,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,826,58,14.24,6th Grade,8th Grade,Middle
SUMMIT MIDDLE SCHOOL,Iowa,IA ,1.91545E+11,Johnston Comm School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,1109,68.53,16.18,6th Grade,7th Grade,Middle
SUMMIT MS,Oklahoma,OK ,4.01059E+11,EDMOND,1-Regular school,2-No,†,2-No,11-City: Large,1009,56.32,17.92,6th Grade,8th Grade,Middle
SUMMIT OAKS-DAY,South Dakota,SD ,4.66627E+11,Sioux Falls School District 49-5,2-Special education school,†,†,2-No,12-City: Mid-size,18,4.5,4,Kindergarten,12th Grade,Other
SUMMIT OAKS-RESIDENTIAL,South Dakota,SD ,4.66627E+11,Sioux Falls School District 49-5,4-Alternative/other school,†,†,2-No,12-City: Mid-size,17,1.5,11.33,Kindergarten,12th Grade,Other
SUMMIT PARK ELEMENTARY,Maryland,MD ,2.40012E+11,Baltimore County Public Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,470,36,13.06,Kindergarten,5th Grade,Elementary
SUMMIT PARK ELEMENTARY SCHOOL,New York,NY ,3.62781E+11,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),1-Regular school,2-No,2-No,2-No,21-Suburb: Large,614,36,17.06,Prekindergarten,3rd Grade,Elementary
SUMMIT PARKWAY MIDDLE,South Carolina,SC ,4.50339E+11,Richland 02,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,1155,76.8,15.04,Kindergarten,8th Grade,Elementary
SUMMIT POINTE ELEM.,Missouri,MO ,2.9183E+11,LEE'S SUMMIT R-VII,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,580,36.23,16.01,Kindergarten,6th Grade,Elementary
SUMMIT PREPARATORY CHARTER HIGH,CALIFORNIA,CA ,060228711981,Summit Preparatory Charter High District,1-Regular school,1-Yes,2-No,–,13-City: Small,442,–,†,9th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL K2,CALIFORNIA,CA ,060191213776,Summit Public School K2 District,1-Regular school,1-Yes,2-No,–,21-Suburb: Large,602,–,†,7th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: ATLAS,WASHINGTON,WA ,5.30034E+11,Summit Public School: Atlas,1-Regular school,1-Yes,2-No,–,11-City: Large,506,27,18.74,6th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: DENALI,CALIFORNIA,CA ,060216913485,Summit Public School: Denali District,1-Regular school,1-Yes,2-No,–,12-City: Mid-size,609,–,†,6th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: OLYMPUS,WASHINGTON,WA ,5.30033E+11,Summit Public School: Olympus,1-Regular school,1-Yes,2-No,–,12-City: Mid-size,183,10,18.3,9th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: RAINIER,CALIFORNIA,CA ,060174912769,Summit Public School: Rainier District,1-Regular school,1-Yes,2-No,–,11-City: Large,315,–,†,9th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: SHASTA,CALIFORNIA,CA ,060164813354,Summit Public School: Shasta District,1-Regular school,1-Yes,2-No,–,21-Suburb: Large,469,–,†,9th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: SIERRA,WASHINGTON,WA ,5.30033E+11,Summit Public School: Sierra,1-Regular school,1-Yes,2-No,–,11-City: Large,344,22,15.64,9th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: TAHOMA,CALIFORNIA,CA ,060222212625,Summit Public School: Tahoma District,1-Regular school,1-Yes,2-No,–,11-City: Large,340,–,†,9th Grade,12th Grade,High
SUMMIT PUBLIC SCHOOL: TAMALPAIS,CALIFORNIA,CA ,060202613986,Summit Public School: Tamalpais District,1-Regular school,1-Yes,2-No,–,21-Suburb: Large,446,–,†,7th Grade,12th Grade,High
SUMMIT RIDGE MIDDLE SCHOOL,Colorado,CO ,080480001054,Jefferson County School District No. R-1,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1019,51.55,19.77,6th Grade,8th Grade,Middle
SUMMIT ROAD ELEMENTARY,Ohio,OH ,3.9047E+11,Reynoldsburg City,1-Regular school,2-No,–,2-No,41-Rural: Fringe,496,19.5,25.44,Kindergarten,4th Grade,Elementary
SUMMIT SCHOOL,Utah,UT ,4.90012E+11,Cache District,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,747,29.96,24.93,Prekindergarten,6th Grade,Elementary
SUMMIT SCHOOL,Nevada,NV ,3.20006E+11,CLARK COUNTY SCHOOL DISTRICT,2-Special education school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
SUMMIT SCHOOL,Washington,WA ,5.30111E+11,Central Valley School District,1-Regular school,2-No,2-No,–,13-City: Small,442,23.72,18.63,Kindergarten,8th Grade,Elementary
SUMMIT SCHOOL,Arizona,AZ ,040292002987,Florence Unified School District (4437),4-Alternative/other school,2-No,–,2-No,31-Town: Fringe,0,–,†,Kindergarten,12th Grade,Other
SUMMIT SECONDARY,CALIFORNIA,CA ,060243014032,Alvord Unified,2-Special education school,2-No,2-No,–,11-City: Large,0,–,†,6th Grade,12th Grade,High
SUMMIT STATION PRESCHOOL,OHIO,OH ,3.9048E+11,Licking Heights Local,1-Regular school,2-No,–,2-No,21-Suburb: Large,20,0.00,†,Prekindergarten,Prekindergarten,Prekindergarten
SUMMIT STREET SCHOOL,VERMONT,VT ,5.0004E+11,Essex-Westford Educational Community Unified School District,1-Regular school,†,2-No,2-No,22-Suburb: Mid-size,346,19.3,17.93,Prekindergarten,3rd Grade,Elementary
SUMMIT TRAIL MIDDLE SCHOOL,Washington,WA ,5.30876E+11,Tahoma School District,1-Regular school,2-No,2-No,–,21-Suburb: Large,1116,48.52,23,6th Grade,8th Grade,Middle
SUMMIT TRAIL MIDDLE SCHOOL,KANSAS,KS ,2.01014E+11,Olathe,1-Regular school,2-No,2-No,–,21-Suburb: Large,595,52,11.44,6th Grade,8th Grade,Middle
SUMMIT VALLEY SCHOOL,Washington,WA ,5.30858E+11,Summit Valley School District,1-Regular school,2-No,2-No,–,43-Rural: Remote,84,5.15,16.31,Prekindergarten,8th Grade,Elementary
SUMMIT VIEW ACADEMY,KENTUCKY,KY ,2.10309E+11,Kenton County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1466,83.93,17.47,Prekindergarten,8th Grade,Elementary
SUMMIT VIEW ELEMENTARY,Arizona,AZ ,040817001612,Sunnyside Unified District (4407),1-Regular school,2-No,–,2-No,21-Suburb: Large,427,26.16,16.32,Kindergarten,6th Grade,Elementary
SUMMIT VIEW ELEMENTARY,Wisconsin,WI ,5.51578E+11,Waukesha School District,1-Regular school,2-No,1-Yes,2-No,13-City: Small,568,37.05,15.33,Prekindergarten,5th Grade,Elementary
SUMMIT VIEW ELEMENTARY SCHOOL,Colorado,CO ,080345000044,Douglas County School District No. Re 1,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,523,30,17.43,Prekindergarten,6th Grade,Elementary
SUMMIT VIEW HIGH SCHOOL,Washington,WA ,5.30038E+11,Battle Ground School District,4-Alternative/other school,2-No,2-No,–,41-Rural: Fringe,393,12.78,30.75,7th Grade,12th Grade,High
SUMMIT VIEW INDEPENDENT STUDY,California,CA ,063315008183,Riverside Unified,4-Alternative/other school,2-No,2-No,–,11-City: Large,244,–,†,Kindergarten,12th Grade,Other
SUMMIT VIEW J/SHS,Nevada,NV ,3.20006E+11,CLARK COUNTY SCHOOL DISTRICT,4-Alternative/other school,2-No,2-No,2-No,41-Rural: Fringe,27,5,5.4,6th Grade,12th Grade,High
SUMMITT EL,Texas,TX ,4.80894E+11,AUSTIN ISD,1-Regular school,2-No,2-No,–,11-City: Large,848,55.31,15.33,Prekindergarten,5th Grade,Elementary
SUMMITVIEW EL SCH,Pennsylvania,PA ,4.22511E+11,Waynesboro Area SD,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,537,32.2,16.68,Kindergarten,5th Grade,Elementary
SUMMITVIEW ELEMENTARY,Washington,WA ,5.30972E+11,West Valley School District (Yakima),1-Regular school,2-No,2-No,–,13-City: Small,311,21.5,14.47,Kindergarten,4th Grade,Elementary
SUMMITVILLE SCHOOL,Indiana,IN ,1.80624E+11,Madison-Grant United School Corp,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,237,15,15.8,Prekindergarten,6th Grade,Elementary
SUMNER ACADEMY OF ARTS & SCIENCE,Kansas,KS ,2.00795E+11,Kansas City,1-Regular school,2-No,1-Yes,–,12-City: Mid-size,1088,67,16.24,8th Grade,12th Grade,High
SUMNER ATTENDANCE CENTER,Illinois,IL ,1.72213E+11,Red Hill CUSD 10,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,201,14.25,14.11,4th Grade,6th Grade,Middle
SUMNER AVENUE,Massachusetts,MA ,2.51113E+11,Springfield,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,548,47,11.66,Prekindergarten,5th Grade,Elementary
SUMNER COUNTY MIDDLE COLLEGE HIGH SCHOOL,TENNESSEE,TN ,4.70402E+11,Sumner County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,72,1,72,11th Grade,12th Grade,High
SUMNER COUNTY MIDDLE TECHNICAL COLLEGE HIGH SCHOOL AT PORTLA,TENNESSEE,TN ,4.70402E+11,Sumner County,3-Vocational school,2-No,2-No,2-No,31-Town: Fringe,21,1,21,11th Grade,12th Grade,High
SUMNER ELEM MATH & SCI COMM ACAD,Illinois,IL ,1.70993E+11,City of Chicago SD 299,1-Regular school,2-No,1-Yes,2-No,11-City: Large,262,17,15.41,Prekindergarten,8th Grade,Elementary
SUMNER ELEMENTARY,Minnesota,MN ,2.70345E+11,AUSTIN PUBLIC SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,316,26,12.15,1st Grade,4th Grade,Elementary
SUMNER ELEMENTARY,North Carolina,NC ,3.70192E+11,Guilford County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,592,32.58,18.17,Prekindergarten,5th Grade,Elementary
SUMNER ELEMENTARY,California,CA ,060876000894,Claremont Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,463,–,†,Kindergarten,6th Grade,Elementary
SUMNER G. WHITTIER SCHOOL,Massachusetts,MA ,2.50477E+11,Everett,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,642,50.31,12.76,Kindergarten,8th Grade,Elementary
SUMNER HIGH,Missouri,MO ,2.92928E+11,ST. LOUIS CITY,1-Regular school,2-No,1-Yes,2-No,11-City: Large,193,24.3,7.94,9th Grade,12th Grade,High
SUMNER HIGH SCHOOL,Washington,WA ,5.30861E+11,Sumner School District,1-Regular school,2-No,2-No,–,21-Suburb: Large,1709,75.3,22.7,9th Grade,12th Grade,High
SUMNER HILL JR HI SCHOOL,Mississippi,MS ,2.80109E+11,CLINTON PUBLIC SCHOOL DIST,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,408,25.9,15.75,9th Grade,9th Grade,Secondary
SUMNER MEMORIAL HIGH SCHOOL,Maine,ME ,2.31479E+11,RSU 24,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,233,21.4,10.89,9th Grade,12th Grade,High
SUMNER MIDDLE SCHOOL,Washington,WA ,5.30861E+11,Sumner School District,1-Regular school,2-No,2-No,–,21-Suburb: Large,739,36.31,20.35,6th Grade,8th Grade,Middle
SUMNER SPECIAL SERVICES,Washington,WA ,5.30861E+11,Sumner School District,2-Special education school,2-No,2-No,–,21-Suburb: Large,32,–,†,Prekindergarten,Prekindergarten,Prekindergarten
SUMNER-FREDERICKSBURG HS,Iowa,IA ,1.9276E+11,Sumner-Fredericksburg Comm School District,1-Regular school,2-No,†,2-No,42-Rural: Distant,229,16.81,13.62,9th Grade,12th Grade,High
SUMNER-FREDERICKSBURG MIDDLE SCHOOL,IOWA,IA ,1.9276E+11,Sumner-Fredericksburg Comm School District,1-Regular school,2-No,†,2-No,42-Rural: Distant,211,13.54,15.58,6th Grade,8th Grade,Middle
SUMPTER ELEMENTARY SCHOOL,Oregon,OR ,4.11082E+11,Salem-Keizer SD 24J,1-Regular school,2-No,†,–,12-City: Mid-size,551,27.11,20.32,Kindergarten,5th Grade,Elementary
SUMRALL  HIGH SCHOOL,Mississippi,MS ,2.8024E+11,LAMAR COUNTY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,582,37,15.73,9th Grade,12th Grade,High
SUMRALL ELEMENTARY SCHOOL,Mississippi,MS ,2.8024E+11,LAMAR COUNTY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,931,60.03,15.51,Prekindergarten,5th Grade,Elementary
SUMRALL MIDDLE SCHOOL,Mississippi,MS ,2.8024E+11,LAMAR COUNTY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,505,28.4,17.78,6th Grade,8th Grade,Middle
SUMTER CAREER AND TECHNOLOGY CENTER,South Carolina,SC ,4.5039E+11,Sumter 01,3-Vocational school,2-No,2-No,1-Yes,13-City: Small,0,13,0.00,9th Grade,12th Grade,High
SUMTER CENTRAL HIGH SCHOOL,Alabama,AL ,010309002201,Sumter County,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,412,24.5,16.82,9th Grade,12th Grade,High
SUMTER COUNTY ELEMENTARY SCHOOL,Georgia,GA ,1.30462E+11,Sumter County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,614,45,13.64,2nd Grade,3rd Grade,Elementary
SUMTER COUNTY INTERMEDIATE SCHOOL,Georgia,GA ,1.30462E+11,Sumter County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,854,61.1,13.98,4th Grade,6th Grade,Middle
SUMTER COUNTY MIDDLE SCHOOL,Georgia,GA ,1.30462E+11,Sumter County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,582,42.7,13.63,7th Grade,8th Grade,Middle
SUMTER COUNTY PRIMARY SCHOOL,Georgia,GA ,1.30462E+11,Sumter County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,764,52.5,14.55,Prekindergarten,1st Grade,Elementary
SUMTER COUNTY VIRTUAL INSTRUCTION PROGRAM,Florida,FL ,1.2018E+11,SUMTER,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,7,0.00,†,Kindergarten,12th Grade,Other
SUMTER HIGH,South Carolina,SC ,4.5039E+11,Sumter 01,1-Regular school,2-No,2-No,2-No,13-City: Small,2291,118.5,19.33,9th Grade,12th Grade,High
SUMTER PREP ACADEMY,Florida,FL ,1.2018E+11,SUMTER,4-Alternative/other school,2-No,2-No,2-No,22-Suburb: Mid-size,98,8,12.25,1st Grade,12th Grade,Other
SUMTER VIRTUAL FRANCHISE,Florida,FL ,1.2018E+11,SUMTER,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,2,0.00,†,6th Grade,12th Grade,High
SUMTER VIRTUAL INSTRUCTION (COURSE OFFERINGS),FLORIDA,FL ,1.2018E+11,SUMTER,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,62,0.00,†,5th Grade,8th Grade,Middle
SUMTER YOUTH DEVELOPMENT CAMPUS,Georgia,GA ,1.30003E+11,Department of Juvenile Justice,4-Alternative/other school,2-No,2-No,2-No,32-Town: Distant,44,5,8.8,9th Grade,12th Grade,High
SUN,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 287,2-Special education school,2-No,2-No,2-No,13-City: Small,71,17.95,3.96,Kindergarten,12th Grade,Other
SUN 'N LAKE ELEMENTARY SCHOOL,Florida,FL ,1.20084E+11,HIGHLANDS,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,677,39.5,17.14,Prekindergarten,5th Grade,Elementary
SUN AREA TECHNICAL INSTITUTE,Pennsylvania,PA ,4.28042E+11,SUN Area Technical Institute,3-Vocational school,2-No,2-No,1-Yes,42-Rural: Distant,0,23,0.00,9th Grade,12th Grade,High
SUN BLAZE ELEMENTARY,Florida,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,1131,74,15.28,Prekindergarten,5th Grade,Elementary
SUN CANYON SCHOOL,Arizona,AZ ,040306002355,Fowler Elementary District (4273),1-Regular school,2-No,–,2-No,11-City: Large,605,29.55,20.47,Prekindergarten,5th Grade,Elementary
SUN CITY ELEMENTARY SCHOOL,Louisiana,LA ,2.20027E+11,Bossier Parish,1-Regular school,2-No,2-No,–,13-City: Small,582,32,18.19,Prekindergarten,3rd Grade,Elementary
SUN EMPIRE ELEMENTARY,California,CA ,061949008869,Kerman Unified,1-Regular school,2-No,2-No,–,42-Rural: Distant,597,–,†,Kindergarten,6th Grade,Elementary
SUN PATH ELEMENTARY,Minnesota,MN ,2.733E+11,SHAKOPEE PUBLIC SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,593,46.16,12.85,Kindergarten,5th Grade,Elementary
SUN PRAIRIE FOUR KIDS,Wisconsin,WI ,5.51464E+11,Sun Prairie Area School District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,521,25.5,20.43,Prekindergarten,Prekindergarten,Prekindergarten
SUN PRAIRIE HIGH,Wisconsin,WI ,5.51464E+11,Sun Prairie Area School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,1703,115.52,14.74,10th Grade,12th Grade,High
SUN PROGRAM,Minnesota,MN ,2.70007E+11,MID STATE EDUCATION DISTRICT,2-Special education school,2-No,2-No,2-No,41-Rural: Fringe,6,1.17,5.13,Prekindergarten,12th Grade,Other
SUN RIDGE MIDDLE,Texas,TX ,4.84071E+11,SOCORRO ISD,1-Regular school,2-No,2-No,–,11-City: Large,925,53,17.45,6th Grade,9th Grade,Middle
SUN RIVER MIDDLE SCHOOL,Montana,MT ,3.0243E+11,Sun River Valley Elem,1-Regular school,†,†,2-No,43-Rural: Remote,65,4.91,13.24,6th Grade,8th Grade,Middle
SUN TERRACE ELEMENTARY,California,CA ,062637003975,Mt. Diablo Unified,1-Regular school,2-No,1-Yes,–,21-Suburb: Large,456,–,†,Kindergarten,5th Grade,Elementary
SUN TRANSITION,Minnesota,MN ,2.70003E+11,INTERMEDIATE SCHOOL DISTRICT 287,2-Special education school,2-No,2-No,2-No,13-City: Small,51,17.04,2.99,7th Grade,12th Grade,High
SUN VALLEY ACADEMY,Arizona,AZ ,040079302984,Morrison Education Group Inc. (90192),1-Regular school,1-Yes,–,2-No,11-City: Large,600,–,†,Kindergarten,8th Grade,Elementary
SUN VALLEY ACADEMY-AVONDALE,ARIZONA,AZ ,040079303675,Morrison Education Group Inc. (90192),1-Regular school,1-Yes,†,†,22-Suburb: Mid-size,†,†,†,–,–,Not Reported
